Mozilla/5.0 (Linux; U; Android 10; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 76.0.3046.89 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; PFGM00 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 60.0.3260.84 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 79.0.3557.57 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; PFGM00 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 110.0.5060.93 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; oppo6833 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 74.0.4325.83 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; CPH2351 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 94.0.5731.55 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 83.0.3846.78 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 52.0.4243.65 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 15; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 59.0.3423.71 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 11; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 93.0.4558.92 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 13; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 60.0.5890.81 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 40.0.4793.43 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 11; oppo6833 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 91.0.3325.42 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; R7sf Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 54.0.4454.56 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 8.1.0; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 85.0.5356.92 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 14; oppo6833 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 74.0.4389.83 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 6.0.1; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 54.0.4080.57 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; OPD2102A Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 96.0.4530.86 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 5.1; PGW110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 57.0.4092.33 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 96.0.3582.31 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 59.0.5757.20 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 10; PGCM10 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 81.0.4311.55 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; CPH2591 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 66.0.5510.72 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 7.1.1; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 51.0.3009.25 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 4.4.4; CPH2513 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 68.0.5186.60 Mobile Safari/537.36
Mozilla/5.0 (Linux; U; Android 12; 1201 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/ 109.0.4860.94 Mobile Safari/537.36
